"NÚMERO DE REGISTRO";"TÍTULO";"DESCRIÇÃO";"CLASSE THESAURUS";"CLASSE";"REFERÊNCIA DE AQUISIÇÃO";"FONTE";"FORMA DE AQUISIÇÃO";"VALOR";"SETOR"
309.368;"Granada (fragmento): cápsula de munição";"Cartucho de munição GL 203/L, carga múltipla, lacrimogênea.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.369;"Granada (fragmento): carga múltipla";"Carga múltipla modelo GL/203L lacrimogênea.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.370;"Granada (fragmento)";"Fragmento de granada modelo Outdoor GL 308, granada pimenta.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.371;"Granada (fragmento): pino de travamento";"Pino de detonação de granada.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.372;"Cartucho";"Cartucho de munição, modelo desconhecido";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.373;"Cartucho";"Cartucho de munição de impacto controlado modelo AM 403/A, Trimpact – lança projéteis de borracha.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.374;"Projétil";"Projétil de borracha, modelo AM403/A, Precision amarelo.";"01.4";"01.4 - MUNICAO E ACESSORIO";"257/2017";"Lucas Cuba Martins e Helena Santiago de Souza Cuba Martins";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
308.989;"Grupo escultórico alegórico";"Escultura “OS GRANDES NOMES DO NORDESTE”, em madeira, de autoria de Bet, datada de 24/11/2016.";"02.3";"02.3 - ESCULTURA";"145/2017";"Paulo Knauss de Mendonça";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.337;"Bomba d'água";"Bomba de água submersível tipo ‘sapo’, utilizada pela Srª Sandra Maria e outros moradores para a limpeza do sumidouro.";"04.3";"02.3 - ESCULTURA";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.326;"Alvenaria (fragmento)";"Fragmento de alvenaria com azulejo, parte da residência do Sr. Francisco, que se situava à Rua Francisco Landy.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.327;"Peitoril (fragmento)";"Fragmento de peitoril de granito, parte da residência do Sr. Adriano Ferreira (Joaquim), que se situava à Rua Francisco Landy.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.328;"Bloco";"Bloco de cimento, em formato hexagonal, parte do calçamento da residência do Sr. Adão, que se situava à Rua Beira Rio.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.329;"Alvenaria (fragmento)";"Fragmento de alvenaria, compunha a parede da residência da Srª Maria da Penha, que se situava à Avenida do Autódromo.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
